NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
RCenter Supermercado | Parque Santa Rosa;4.4;2.683 comentários;R. Cônego de Castro, 5531 - Parque Santa Rosa (Apolo XI), Fortaleza - CE, 60763-433;Supermercado;20 min;Supermercado
mercearia;3.3;3 comentários;R. Rodrigues Júnior - Centro, Fortaleza - CE, 60060-090;Supermercado;;Supermercado
Mercadinho Popular;4.1;9 comentários;Av. Dom Manuel, 1363 - Centro, Fortaleza - CE, 60060-091;Supermercado;;Supermercado
Supermercado Supercabence;2.8;5 comentários;R. Gil Amora, 1508 - Farias Brito, Fortaleza - CE, 60015-180;Supermercado;;Supermercado
Supermercado Supribem;4.5;910 comentários;Av. Aguanambi, 880 - José Bonifacio, Fortaleza - CE, 60055-402;Supermercado;20 min;Supermercado
Supermercado Pinheiro;4.1;1.419 comentários;R. Piauí, 1110 - Panamericano, Fortaleza - CE, 60441-015;Supermercado;15 min;Supermercado
REDE CEARENSE DE SUPERMECADOS;4.7;71 comentários;Av. Francisco Sá, 6650 - Barra do Ceará, Fortaleza - CE, 60330-878;Supermercado;15 min;Supermercado
Minibox Supermercado Fortaleza;4.4;29 comentários;R. Quatrocentos e Seis, 14 - Jangurussu, Fortaleza - CE, 60866-460;Supermercado;;Supermercado
Mercadinho Jóia;4.2;12 comentários;Rua Bárbara de Alencar, 644 - Centro, Fortaleza - CE, 60140-000;Supermercado;;Supermercado
Hipermarket Supermercado Loja 03;4.4;291 comentários;R. Freire Alemão, 356 - Serrinha, Fortaleza - CE, 60742-110;Supermercado;15 min;Supermercado
Frangolândia Supermercado Rui Barbosa: Carnes, Frutas, Delivery em Fortaleza CE;4.2;1.434 comentários;Av. Rui Barbosa, 2727 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60115-222;Supermercado;20 min a 1 h;Supermercado
Frangolândia Supermercado - Aldeota;4.3;1.531 comentários;Av. Santos Dumont, 2680 - Aldeota, Fortaleza - CE, 60150-161;Supermercado;15-45 min;Supermercado
Super Uchôa;4.1;696 comentários;R. André Chaves, 612 - Jardim América, Fortaleza - CE, 60416-135;Supermercado;15 min;Supermercado
Pão de Açúcar;4.4;553 comentários;Av. Senador Virgílio Távora, 2270 - Dionísio Torres, Fortaleza - CE, 60170-251;Supermercado;20 min;Supermercado
Assaí Atacadista;4.1;1.419 comentários;Av. Godofredo Maciel, 86 - Parangaba, Fortaleza - CE, 60710-000;Supermercado;20 min a 1,5 h;Supermercado
Mercadinho;;;Rua Tenente Barbosa, 229 - Alto da Balança, Fortaleza - CE, 60851-490;;;Supermercado
Supermercado SuperLua Loja 01;3.8;664 comentários;Av. Areia Branca, 85 - Morro Santa Terezinha, Fortaleza - CE, 60181-170;Supermercado;20 min;Supermercado
Frangolândia Supermercado Varjota: Carnes, Frutas, Delivery em Fortaleza CE;3.8;2.460 comentários;Rua Frei Mansueto, 909 - Varjota, Fortaleza - CE, 60175-070;Supermercado;15-45 min;Supermercado
Baratão Supermercados - Loja Álvaro Weyne;4.1;932 comentários;Av. Dr. Theberge, 538 - Cristo Redentor, Fortaleza - CE, 60335-480;Supermercado;15 min;Supermercado
Villabox Supermercado;4.2;253 comentários;Av. Dr. Theberge, 399 - Cristo Redentor, Fortaleza - CE, 60335-480;Supermercado;15 min;Supermercado
Ismael Supermecados | Lagoa Redonda;3.9;1.663 comentários;Av. Professor José Arthur de Carvalho, 520 - Lagoa Redonda, Fortaleza - CE, 60831-370;Loja;15 min;Supermercado
Mercadinho;4.3;14 comentários;R. Frei Humberto, 322 - Farias Brito, Fortaleza - CE, 60011-110;Supermercado;;Supermercado
Mercadinho Nova Vida;;;R. Pereira Filgueiras, 514 - Centro, Fortaleza - CE, 60160-150;;;Supermercado
Cometa Supermercados - Oliveira Paiva;4.2;2.987 comentários;Av. Oliveira Paiva, 1881 - Parque Manibura, Fortaleza - CE, 60822-130;Supermercado;15 min;Supermercado
Santa Edwiges Supermercado;4.2;760 comentários;Av. Hildebrando de Melo, 1849 - Jardim Guanabara, Fortaleza - CE, 60346-180;Supermercado;20 min;Supermercado
Fazendinha Supermercados;4.5;737 comentários;Av. da Abolição, 3080 - Meireles, Fortaleza - CE, 60165-081;Supermercado;15 min;Supermercado
Saraiva Supermercado;4.3;607 comentários;Rua Antônio Gentil Gomes, 1217 - Lagoa Sapiranga (Coité), Fortaleza - CE, 60833-695;Supermercado;15 min;Supermercado
Mercado São Sebastião;4.4;10.522 comentários;R. Gen. Clarindo de Queiroz, 1745 - Centro, Fortaleza - CE, 60035-131;Mercado;15-45 min;Supermercado
Baratão Supermercados - Siqueira;4.2;640 comentários;Av. Gen. Osório de Paiva, 7020 - Siqueira, Fortaleza - CE, 60732-142;Supermercado;15 min;Supermercado
Supermercado Guará Iguatemi: Carnes, Frutas, Delivery, Fortaleza CE;4.2;64 comentários;Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-900;Supermercado;10 min;Supermercado
Supermercado Pinheiro - Rogaciano Leite;4.5;685 comentários;Av. Rogaciano Leite, 2080 - Salinas, Fortaleza - CE, 60810-792;Supermercado;20 min;Supermercado
Cometa Supermercados - Virgílio Távora;4.4;1.349 comentários;Av. Senador Virgílio Távora, 847 - Meireles, Fortaleza - CE, 60170-251;Supermercado;20 min;Supermercado
Cometa Supermercados - Pinto Madeira;4.2;3.285 comentários;R. Pinto Madeira, 1340 - Aldeota, Fortaleza - CE, 60150-000;Supermercado;20 min;Supermercado
Sam's Club Fortaleza;4.2;4.091 comentários;Av. Eng. Santana Jr., 9 - Papicu, Fortaleza - CE, 60175-652;$;25 min a 1 h;Supermercado
Mercadinho Vem q Tem;4.9;31 comentários;R. Rodrigues Júnior, 548 - loja 01 - Centro, Fortaleza - CE, 60060-000;Supermercado;10-45 min;Supermercado
Supermercado Pinheiro - Washington Soares;4.2;1.540 comentários;Av. Washington Soares, 10008 - Loja 06 - Messejana, Fortaleza - CE, 60843-285;Supermercado;20 min;Supermercado
Assaí Atacadista;4.1;3.742 comentários;Edson Queiroz - Av. Washington Soares, 5.657 - José de Alencar, Fortaleza - CE, 60830-641;Supermercado;15 min a 1 h;Supermercado
SUPERMERCADO COMPRE MAX - Rede Parceria;3.9;1.023 comentários;Av. Mister Hull, 5380 - Antônio Bezerra, Fortaleza - CE, 60356-001;Supermercado;20 min;Supermercado
Mercadinho Do Bom Preco;;;Rua Solon Pinheiro, 852 - Centro, Fortaleza - CE, 60050-040;;;Supermercado
Mercadinho Unidos;4.3;3 comentários;R. Joaquim Barroso, 115 - Aerolândia, Fortaleza - CE, 60850-150;Supermercado;;Supermercado
Cometa Supermercados - Bairro de Fátima;4.5;465 comentários;Av. Deputado Oswaldo Studart, 200 - Fátima, Fortaleza - CE, 60411-260;Supermercado;20 min;Supermercado
Pão de Açúcar;4.3;1.995 comentários;Av. Bezerra de Menezes, 1498/1548 - São Gerardo, Fortaleza - CE, 60325-001;Supermercado;20 min;Supermercado
Frangolândia Supermercado Guararapes: Carnes, Frutas, Delivery em Fortaleza CE;4.5;835 comentários;Av. Coronel Miguel Dias, 1389 - Luciano Cavalcante, Fortaleza - CE, 60810-160;Supermercado;15-45 min;Supermercado
MERCADINHO MONTE;4.6;10 comentários;R. Viaduto Moreira da Rocha, 46 - Centro, Fortaleza - CE, 60060-194;Supermercado;;Supermercado
Cometa Supermercados - José Leon;4.4;1.789 comentários;Av. José Leon, 1120 - Cidade dos Funcionários, Fortaleza - CE, 60822-676;Supermercado;20 min;Supermercado
Ponto do Frango ( supermercado );4.7;130 comentários;R. Barão de Aracati, 2391 - Aldeota, Fortaleza - CE, 60115-082;Supermercado;15 min;Supermercado
Cometa Supermercados - Treze de Maio;4.4;1.541 comentários;Av. Treze de Maio, 1060 - Fátima, Fortaleza - CE, 60040-530;Supermercado;20 min;Supermercado
Super Uchoa - Loja 2;4.3;337 comentários;R. João Sorongo, 310 - Damas, Fortaleza - CE, 60425-784;Supermercado;15 min;Supermercado
Supermercado Crispim;5.0;3 comentários;Rua Manoel Padilha, 39 - Fátima, Fortaleza - CE, 60040-550;Supermercado;;Supermercado
Claeck Supermercados | Parque Jerusalém;4.1;370 comentários;Av. Monte Pascoal, 715 - Parque Jerusalém, Fortaleza - CE, 60731-390;Supermercado;15 min;Supermercado
Super Portugal 6 São João do Tauape;4.4;306 comentários;Rua Monsenhor Salazar, 928 - São João do Tauape, Fortaleza - CE, 60130-370;Supermercado;15 min;Supermercado
Levoo Mercado;3.9;14 comentários;Av. Santos Dumont, 5040 - loja A - Cocó, Fortaleza - CE, 60192-018;Supermercado;;Supermercado
Centerbox Supermercados;4.0;1.364 comentários;R. Alberto de Oliveira, 1739 - Floresta, Fortaleza - CE, 60330-530;Supermercado;20 min;Supermercado
Mercadinho Rl;;;R. Gen. Clarindo de Queiroz, 218 - Centro, Fortaleza - CE, 60035-130;;;Supermercado
Mercadinho Ouro Preto;4.5;10 comentários;Av. Visconde do Rio Branco, 2252 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60055-171;Supermercado;;Supermercado
CC ALIMENTAÇÕES;3.5;2 comentários;Av. Tristão Gonçalves, 174 - Centro, Fortaleza - CE, 60015-001;Supermercado;;Supermercado
Supermercado Pinheiro;4.2;2.217 comentários;(85) 4008-2444;;;Supermercado
Pão de Açúcar;4.2;2.722 comentários;Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161;Supermercado;15 min;Supermercado
Assaí Atacadista;4.3;2.168 comentários;Av. Bezerra de Menezes, 571 - Farias Brito, Fortaleza - CE, 60325-003;Supermercado;15 min a 1 h;Supermercado
Mercadinho O Tião;4.6;21 comentários;R. Castro e Silva, 947 - Centro, Fortaleza - CE, 60030-010;Supermercado;15 min;Supermercado
Compre Max Supermercados;4.0;744 comentários;Av. Sgt. Hermínio Sampaio, 4200 A - Antônio Bezerra, Fortaleza - CE, 60350-485;Supermercado;15 min;Supermercado
Mercadinho Feijão Maravilha;2.7;3 comentários;Rua Monsenhor Salazar, 1445 - São João do Tauape, Fortaleza - CE, 60130-371;Supermercado;;Supermercado
